Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
HTTP请求,784,8153,7997,18182,18545,20884,0,23757,43.750%,10.27914,116.16,1.04
总体,784,8153,7997,18182,18545,20884,0,23757,43.750%,10.27914,116.16,1.04
